frame_no,timestamp,size_px-mediumseagreen,position_px_x-mediumseagreen,position_px_y-mediumseagreen,rx-mediumseagreen,ry-mediumseagreen,vx-mediumseagreen,vy-mediumseagreen,ax-mediumseagreen,ay-mediumseagreen
7,314.2,9,549,9,,,,,,
8,446.1,9,549,8,,,,,,
9,481.5,9,549,9,,,,,,
10,682.2,9,549,9,,,,,,
11,715.1,9,549,9,,,,,,
12,746.0,9,549,9,,,,,,
13,845.2,9,549,9,,,,,,
14,945.3,9,549,9,,,,,,
15,1045.4,9,549,9,,,,,,
16,1081.8,9,549,9,,,,,,
17,1117.5,9,549,9,,,,,,
18,1181.2,9,550,9,,,,,,
19,1281.3,9,549,9,,,,,,
20,1313.7,9,549,8,,,,,,
21,1345.7,9,549,9,,,,,,
22,1384.4,8,549,14,,,,,,
23,1445.7,8,548,25,,,,,,
24,1481.3,8,547,36,,,,,,
25,1682.0,8,538,134,,,,,,
26,1714.9,8,537,153,,,,,,
27,1748.5,8,535,173,,,,,,
28,1845.4,8,530,237,,,,,,
29,1881.4,8,529,259,,,,,,
30,1913.8,8,528,282,,,,,,
31,2013.2,7,524,355,,,,,,
32,2046.0,7,522,381,,,,,,
33,2082.0,8,521,407,,,,,,
34,2113.8,7,519,434,,,,,,
35,2149.5,7,518,461,,,,,,
36,2281.1,7,513,576,,,,,,
37,2313.5,7,510,605,,,,,,
38,2345.6,7,510,637,,,,,,
39,2381.3,7,508,668,,,,,,
40,2414.1,7,506,700,,,,,,
41,2481.1,7,503,765,,,,,,
42,2513.8,7,502,799,,,,,,
43,2645.6,7,495,933,,,,,,
44,2683.8,7,494,911,,,,,,
45,2721.6,8,493,889,,,,,,
46,2757.2,8,492,868,,,,,,
47,2785.3,8,491,849,,,,,,
48,2813.4,7,490,829,,,,,,
49,2853.2,7,489,810,,,,,,
50,2913.2,8,487,775,,,,,,
51,3045.4,7,482,712,,,,,,
52,3093.1,7,482,699,,,,,,
53,3145.4,7,479,673,,,,,,
54,3281.3,7,475,630,,,,,,
55,3315.2,7,474,621,,,,,,
56,3348.2,7,472,612,,,,,,
